"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Mon Apr 22 10:36:36 CEST 2024","Mon Apr 22 10:36:38 CEST 2024","2023","chromium","login.spec.ts","","","","has title",""
"passed","Mon Apr 22 10:36:36 CEST 2024","Mon Apr 22 10:36:39 CEST 2024","2422","chromium","login.spec.ts","","","","get started link",""
